seed,world,profile,success,hazard_recall,coverage,collision_rate,collisions,safety_cost,constraint_violations,steps,invalid_actions,shield_interventions
5507,site_medium,medium,False,0.9,0.9,0.0,0,39.5,61,300,0,4
5507,site_medium,high,True,1.0,1.0,0.0,0,49.0,92,243,0,18
5507,site_dynamic,low,True,1.0,1.0,0.0,0,37.25,53,324,0,25
5507,site_dynamic,medium,False,0.8666666666666667,0.8666666666666667,0.0,0,49.75,86,400,0,4
5507,site_dynamic,high,False,0.9565217391304348,0.9565217391304348,0.0,0,116.75,189,400,0,39
5508,site_small,low,False,0.6666666666666666,0.6666666666666666,0.0,0,10.25,15,180,0,11
5508,site_small,medium,True,1.0,1.0,0.0,0,1.5,1,79,0,0
5508,site_small,high,True,1.0,1.0,0.0,0,9.75,17,108,0,1
5508,site_medium,low,False,0.8571428571428571,0.8571428571428571,0.0,0,32.75,52,300,0,35
5508,site_medium,medium,True,1.0,1.0,0.0,0,47.25,81,281,0,7
5508,site_medium,high,False,0.4,0.4,0.0,0,75.0,78,300,0,70
5508,site_dynamic,low,True,1.0,1.0,0.0,0,66.0,107,376,0,10
5508,site_dynamic,medium,False,0.8666666666666667,0.8666666666666667,0.0,0,76.75,120,400,0,11
5508,site_dynamic,high,False,0.6521739130434783,0.6521739130434783,0.0,0,27.0,42,400,0,217
5509,site_small,low,True,1.0,1.0,0.0,0,11.0,16,81,0,5
5509,site_small,medium,True,1.0,1.0,0.0,0,11.0,18,92,0,0
5509,site_small,high,True,1.0,1.0,0.0,0,19.75,36,115,0,4
5509,site_medium,low,True,1.0,1.0,0.0,0,29.25,46,222,0,6
5509,site_medium,medium,True,1.0,1.0,0.0,0,26.25,46,226,0,1
5509,site_medium,high,True,1.0,1.0,0.0,0,34.5,64,206,0,7
5509,site_dynamic,low,True,1.0,1.0,0.0,0,31.5,55,177,0,7
5509,site_dynamic,medium,True,1.0,1.0,0.0,0,64.25,108,330,0,17
5509,site_dynamic,high,False,0.9565217391304348,0.9565217391304348,0.0,0,111.75,211,400,0,11
