seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops,shield_rejection_reasons
5400,site_small,low,True,1.0,1.0,84,2.5,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,7,0,False,False,0,0,"{""dynamic_hazard_prediction"": 1, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 1, ""restricted_zone"": 6}"
5400,site_small,medium,True,1.0,1.0,79,2.25,2,0,11.900000117719173,11.900000117719173,11.900000117719173,11.900000117719173,0,0,0,0,0,0,3,0,False,False,0,0,"{""future_collision_risk"": 1, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 2, ""restricted_zone"": 2}"
5400,site_small,high,False,0.8333333333333334,0.8333333333333334,180,16.75,23,6.0,47.5000005364418,53.5000005364418,,64.20000064373016,6,6,0,0,0,0,13,0,False,False,0,0,"{""future_collision_risk"": 8, ""human_clearance_breach"": 8, ""human_near_miss_exposure"": 8, ""restricted_zone"": 5}"
5400,site_medium,low,False,0.7142857142857143,0.7142857142857143,300,24.5,17,0,28.5,28.5,,39.9,0,0,0,0,0,0,25,0,False,False,0,0,"{""dynamic_hazard_prediction"": 4, ""future_collision_risk"": 11, ""future_restricted_zone_risk"": 3, ""human_clearance_breach"": 10, ""human_near_miss_exposure"": 10, ""restricted_zone"": 15}"
5400,site_medium,medium,True,1.0,1.0,166,17.25,14,2.0,27.600000247359276,29.600000247359276,29.600000247359276,29.600000247359276,2,0,2,0,0,0,11,0,False,False,0,0,"{""dynamic_hazard_prediction"": 1, ""future_collision_risk"": 10, ""human_clearance_breach"": 2, ""human_near_miss_exposure"": 2, ""restricted_zone"": 9}"
5400,site_medium,high,False,0.3333333333333333,0.3333333333333333,300,5.5,10,0,65.00000089406967,65.00000089406967,,195.00000268220901,0,0,0,0,0,0,127,0,False,False,0,0,"{""future_collision_risk"": 126, ""human_clearance_breach"": 7, ""human_near_miss_exposure"": 7, ""restricted_zone"": 120}"
5400,site_dynamic,low,True,1.0,1.0,378,27.25,23,0,18.5,18.5,18.5,18.5,0,0,0,0,0,0,39,0,False,False,0,0,"{""dynamic_hazard_prediction"": 6, ""future_collision_risk"": 32, ""future_human_clearance_risk"": 5, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 11, ""human_near_miss_exposure"": 17, ""restricted_zone"": 28}"
5400,site_dynamic,medium,False,0.9333333333333333,0.9333333333333333,400,54.25,68,8.0,85.00000059604645,93.00000059604645,,99.64285778147834,8,0,8,0,0,0,56,0,False,False,0,0,"{""dynamic_hazard_prediction"": 19, ""future_collision_risk"": 38, ""future_human_clearance_risk"": 9, ""future_restricted_zone_risk"": 13, ""human_clearance_breach"": 26, ""human_near_miss_exposure"": 34, ""restricted_zone"": 30}"
5400,site_dynamic,high,False,0.9130434782608695,0.9130434782608695,400,43.0,51,11.0,109.0000011920929,120.05000119209289,,131.4833346389589,10,2,8,0,0,0,212,0,True,True,0,0,"{""dynamic_hazard_prediction"": 15, ""future_collision_risk"": 108, ""human_clearance_breach"": 5, ""human_near_miss_exposure"": 6, ""restricted_zone"": 206}"
5401,site_small,low,True,1.0,1.0,51,2.0,4,1.0,1.5,2.5,2.5,2.5,1,0,1,0,0,0,3,0,False,False,0,0,"{""future_collision_risk"": 1, ""human_clearance_breach"": 3, ""human_near_miss_exposure"": 2}"
5401,site_small,medium,True,1.0,1.0,77,2.0,3,0,8.600000105798244,8.600000105798244,8.600000105798244,8.600000105798244,0,0,0,0,0,0,3,0,False,False,0,0,"{""future_collision_risk"": 1, ""future_restricted_zone_risk"": 1, ""human_clearance_breach"": 1, ""restricted_zone"": 2}"
5401,site_small,high,True,1.0,1.0,33,0.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,0,0,False,False,0,0,{}
5401,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,16.0,13,0,20.5,20.5,,23.916666666666668,0,0,0,0,0,0,30,0,False,False,0,0,"{""dynamic_hazard_prediction"": 8, ""future_collision_risk"": 13, ""future_human_clearance_risk"": 3, ""future_restricted_zone_risk"": 3, ""human_clearance_breach"": 6, ""human_near_miss_exposure"": 9, ""restricted_zone"": 24}"
5401,site_medium,medium,True,1.0,1.0,210,28.5,25,1.0,35.000000312924385,36.000000312924385,36.000000312924385,36.000000312924385,1,0,1,0,0,0,24,0,False,False,0,0,"{""dynamic_hazard_prediction"": 4, ""future_collision_risk"": 8, ""future_human_clearance_risk"": 2, ""future_restricted_zone_risk"": 4, ""human_clearance_breach"": 7, ""human_near_miss_exposure"": 9, ""restricted_zone"": 17}"
5401,site_medium,high,False,0.9333333333333333,0.9333333333333333,300,47.0,63,13.0,95.00000089406967,108.10000089406967,,115.82142952936036,12,5,7,0,0,0,25,0,False,False,0,0,"{""dynamic_hazard_prediction"": 2, ""future_collision_risk"": 7, ""future_human_clearance_risk"": 2, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 11, ""human_near_miss_exposure"": 13, ""restricted_zone"": 14}"
5401,site_dynamic,low,False,0.8333333333333334,0.8333333333333334,400,41.0,46,0,35.0,35.0,,42.0,0,0,0,0,0,0,68,0,True,True,0,0,"{""dynamic_hazard_prediction"": 3, ""future_collision_risk"": 44, ""future_human_clearance_risk"": 7, ""future_restricted_zone_risk"": 11, ""human_clearance_breach"": 33, ""human_near_miss_exposure"": 35, ""restricted_zone"": 35}"
5401,site_dynamic,medium,False,0.6,0.6,400,39.0,47,0,72.50000059604645,72.55000059604644,,120.91666766007741,0,0,0,0,0,0,43,0,False,False,0,0,"{""dynamic_hazard_prediction"": 7, ""future_collision_risk"": 10, ""future_human_clearance_risk"": 22, ""future_restricted_zone_risk"": 4, ""human_clearance_breach"": 29, ""human_near_miss_exposure"": 30, ""restricted_zone"": 14}"
5401,site_dynamic,high,False,0.6956521739130435,0.6956521739130435,400,45.25,59,2.0,120.5000011920929,122.55000119209289,,176.16562671363354,2,0,2,0,0,0,49,0,False,False,0,0,"{""dynamic_hazard_prediction"": 4, ""future_collision_risk"": 16, ""future_human_clearance_risk"": 9, ""future_restricted_zone_risk"": 21, ""human_clearance_breach"": 38, ""human_near_miss_exposure"": 32, ""restricted_zone"": 11}"
5402,site_small,low,True,1.0,1.0,41,2.5,3,0,1.5,1.5,1.5,1.5,0,0,0,0,0,0,3,0,False,False,0,0,"{""future_collision_risk"": 1, ""future_human_clearance_risk"": 1, ""human_near_miss_exposure"": 1, ""restricted_zone"": 3}"
5402,site_small,medium,True,1.0,1.0,42,1.5,2,0,6.100000061094761,6.150000061094761,6.150000061094761,6.150000061094761,0,0,0,0,0,0,2,0,False,False,0,0,"{""future_collision_risk"": 1, ""human_near_miss_exposure"": 1, ""restricted_zone"": 2}"
5402,site_small,high,True,1.0,1.0,116,12.25,9,0,30.70000034570694,30.70000034570694,30.70000034570694,30.70000034570694,0,0,0,0,0,0,7,0,False,False,0,0,"{""dynamic_hazard_prediction"": 5, ""future_collision_risk"": 1, ""human_clearance_breach"": 5, ""human_near_miss_exposure"": 4, ""restricted_zone"": 2}"
5402,site_medium,low,True,1.0,1.0,82,6.25,2,0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,5,0,False,False,0,0,"{""future_collision_risk"": 5, ""restricted_zone"": 5}"
5402,site_medium,medium,False,0.9,0.9,300,27.25,16,0,45.000000447034836,45.000000447034836,,50.00000049670537,0,0,0,0,0,0,28,0,False,False,0,0,"{""dynamic_hazard_prediction"": 3, ""future_collision_risk"": 14, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 8, ""human_near_miss_exposure"": 12, ""restricted_zone"": 20}"
