actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,2848,439,142,111,0
1,220,2852,76,98,0
2,726,703,6926,127,0
3,639,884,209,6728,0
4,0,7,1,0,1267
