seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5400,site_small,low,True,1.0,1.0,93,0.75,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,9,0,False,False,0,0
5400,site_small,medium,True,1.0,1.0,77,2.5,0,0,11.700000114738941,11.700000114738941,11.700000114738941,11.700000114738941,0,0,0,0,0,0,5,0,False,False,0,0
5400,site_small,high,False,0.8333333333333334,0.8333333333333334,180,3.75,0,0,37.0000005364418,37.0000005364418,,44.40000064373016,0,0,0,0,0,0,13,0,False,False,0,0
5400,site_medium,low,False,0.5714285714285714,0.5714285714285714,300,8.5,0,0,2.0,2.0,,3.5,0,0,0,0,0,0,144,0,True,True,0,0
5400,site_medium,medium,False,0.9,0.9,300,20.5,14,14.0,42.000000447034836,56.000000447034836,,62.2222227189276,9,4,5,0,0,0,21,0,False,False,0,0
5400,site_medium,high,False,0.8666666666666667,0.8666666666666667,300,10.25,0,0,62.00000089406967,62.05000089406967,,71.59615487777269,0,0,0,0,0,0,60,0,False,False,0,0
5400,site_dynamic,low,False,0.8333333333333334,0.8333333333333334,400,33.25,0,0,35.0,35.0,,42.0,0,0,0,0,0,0,129,0,True,True,0,0
5400,site_dynamic,medium,False,0.6666666666666666,0.6666666666666666,400,7.0,0,0,46.00000059604645,46.00000059604645,,69.00000089406967,0,0,0,0,0,0,132,0,True,True,0,0
5400,site_dynamic,high,False,0.6956521739130435,0.6956521739130435,400,34.75,37,37.0,88.0000011920929,125.05000119209289,,179.75937671363354,24,1,23,0,0,0,224,0,True,True,0,0
5401,site_small,low,False,0.0,0.0,180,90.0,180,180.0,0,180.0,,,1,0,1,0,0,0,180,0,False,False,0,0
5401,site_small,medium,True,1.0,1.0,89,3.5,0,0,8.300000123679638,8.300000123679638,8.300000123679638,8.300000123679638,0,0,0,0,0,0,12,0,False,False,0,0
5401,site_small,high,True,1.0,1.0,33,0.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,0,0,False,False,0,0
5401,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,14.0,0,0,8.0,8.0,,9.333333333333334,0,0,0,0,0,0,32,0,False,False,0,0
5401,site_medium,medium,False,0.6,0.6,300,10.75,7,7.0,37.000000447034836,44.000000447034836,,73.3333340783914,5,2,3,0,0,0,44,0,False,False,0,0
5401,site_medium,high,False,0.4666666666666667,0.4666666666666667,300,3.5,1,1.0,62.00000089406967,63.00000089406967,,135.00000191586358,1,0,1,0,0,0,263,0,True,True,0,0
5401,site_dynamic,low,False,0.9166666666666666,0.9166666666666666,400,11.75,0,0,3.0,3.0,,3.272727272727273,0,0,0,0,0,0,72,0,False,False,0,0
5401,site_dynamic,medium,False,0.4,0.4,400,4.0,1,1.0,40.00000059604645,41.00000059604645,,102.50000149011612,1,0,1,0,0,0,133,0,False,False,0,0
5401,site_dynamic,high,False,0.8260869565217391,0.8260869565217391,400,24.25,25,25.0,94.0000011920929,119.05000119209289,,144.11315933779665,13,1,12,0,0,0,71,0,False,False,0,0
5402,site_small,low,False,0.6666666666666666,0.6666666666666666,180,4.5,0,0,0,0,,0.0,0,0,0,0,0,0,26,0,False,False,0,0
5402,site_small,medium,True,1.0,1.0,72,3.5,0,0,7.1000001057982445,7.1000001057982445,7.1000001057982445,7.1000001057982445,0,0,0,0,0,0,5,0,False,False,0,0
5402,site_small,high,True,1.0,1.0,73,2.25,1,1.0,15.600000217556953,16.600000217556953,16.600000217556953,16.600000217556953,1,0,1,0,0,0,5,0,False,False,0,0
5402,site_medium,low,True,1.0,1.0,104,7.75,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,12,0,False,False,0,0
5402,site_medium,medium,False,0.4,0.4,300,20.5,0,0,34.000000447034836,34.000000447034836,,85.00000111758709,0,0,0,0,0,0,33,0,False,False,0,0
5402,site_medium,high,False,0.8666666666666667,0.8666666666666667,300,6.0,6,6.0,64.00000089406967,70.00000089406967,,80.76923180084962,4,1,3,0,0,0,44,0,False,False,0,0
5402,site_dynamic,low,False,0.75,0.75,400,19.25,0,0,5.0,5.0,,6.666666666666667,0,0,0,0,0,0,120,0,True,True,0,0
5402,site_dynamic,medium,False,0.9333333333333333,0.9333333333333333,400,27.75,16,16.0,49.00000059604645,65.00000059604645,,69.64285778147834,6,0,6,0,0,0,46,0,False,False,0,0
5402,site_dynamic,high,False,0.08695652173913043,0.08695652173913043,400,26.5,0,0,128.0000011920929,128.0000011920929,,1472.0000137090683,0,0,0,0,0,0,123,0,False,False,0,0
5403,site_small,low,True,1.0,1.0,137,1.25,0,0,2.0,2.05,2.05,2.05,0,0,0,0,0,0,31,0,False,False,0,0
5403,site_small,medium,False,0.75,0.75,180,6.25,0,0,39.0000002682209,39.0000002682209,,52.00000035762787,0,0,0,0,0,0,27,0,False,False,0,0
5403,site_small,high,False,0.6666666666666666,0.6666666666666666,180,1.25,0,0,37.0000005364418,37.0000005364418,,55.500000804662704,0,0,0,0,0,0,63,0,False,False,0,0
5403,site_medium,low,False,0.5714285714285714,0.5714285714285714,300,2.0,0,0,2.0,2.0,,3.5,0,0,0,0,0,0,91,0,False,False,0,0
5403,site_medium,medium,False,0.9,0.9,300,3.75,0,0,31.000000447034836,31.000000447034836,,34.44444494114982,0,0,0,0,0,0,74,0,False,False,0,0
5403,site_medium,high,False,0.5333333333333333,0.5333333333333333,300,14.25,5,5.0,105.00000089406967,110.00000089406967,,206.25000167638063,2,0,2,0,0,0,44,0,False,False,0,0
5403,site_dynamic,low,False,0.6666666666666666,0.6666666666666666,400,18.75,0,0,1.0,1.0,,1.5,0,0,0,0,0,0,88,0,False,False,0,0
5403,site_dynamic,medium,False,0.26666666666666666,0.26666666666666666,400,23.0,0,0,40.00000059604645,40.00000059604645,,150.00000223517418,0,0,0,0,0,0,140,0,False,False,0,0
5403,site_dynamic,high,False,0.7391304347826086,0.7391304347826086,400,33.25,24,24.0,98.0000011920929,122.05000119209289,,165.12647220106686,11,0,11,0,0,0,75,0,False,False,0,0
5404,site_small,low,True,1.0,1.0,91,0.75,0,0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,12,0,False,False,0,0
5404,site_small,medium,True,1.0,1.0,86,1.5,0,0,10.600000128149986,10.600000128149986,10.600000128149986,10.600000128149986,0,0,0,0,0,0,4,0,False,False,0,0
