actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,2862,317,133,228,0
1,63,3044,57,82,0
2,492,879,6882,229,0
3,280,688,126,7366,0
4,0,0,0,0,1275
