actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,2884,174,196,286,0
1,102,2832,116,196,0
2,303,296,7669,214,0
3,181,217,104,7958,0
4,0,1,0,0,1274
