actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,3120,226,86,108,0
1,124,2916,92,114,0
2,642,284,7458,98,0
3,519,320,139,7482,0
4,0,0,0,0,1275
