seed,world,profile,success,hazard_recall,coverage,collision_rate,collisions,safety_cost,constraint_violations,steps,invalid_actions,shield_interventions
5007,site_small,low,True,1.0,1.0,0.0,0,0.0,0,40,0,2
5007,site_small,medium,False,0.75,0.75,0.0,0,0.0,0,180,0,46
5007,site_small,high,True,1.0,1.0,0.0,0,0.0,0,34,0,3
5007,site_medium,low,False,0.2857142857142857,0.2857142857142857,0.0,0,0.0,0,300,0,112
5007,site_medium,medium,False,0.0,0.0,0.0,0,11.5,23,300,0,193
5007,site_medium,high,False,0.06666666666666667,0.06666666666666667,0.0,0,0.0,0,300,0,145
5007,site_dynamic,low,False,0.0,0.0,0.0,0,1.0,2,400,0,225
5007,site_dynamic,medium,False,0.3333333333333333,0.3333333333333333,0.0,0,6.5,13,400,0,225
5007,site_dynamic,high,False,0.30434782608695654,0.30434782608695654,0.0,0,4.5,9,400,0,211
5008,site_small,low,True,1.0,1.0,0.0,0,0.0,0,164,0,23
5008,site_small,medium,True,1.0,1.0,0.0,0,0.0,0,113,0,14
5008,site_small,high,False,0.16666666666666666,0.16666666666666666,0.0,0,0.0,0,180,0,144
5008,site_medium,low,False,0.42857142857142855,0.42857142857142855,0.0,0,0.0,0,300,0,130
5008,site_medium,medium,False,0.3,0.3,0.0,0,0.0,0,300,0,60
5008,site_medium,high,False,0.2,0.2,0.0,0,0.0,0,300,0,288
5008,site_dynamic,low,False,0.3333333333333333,0.3333333333333333,0.0,0,0.5,1,400,0,368
5008,site_dynamic,medium,False,0.06666666666666667,0.06666666666666667,0.0,0,101.5,203,400,0,400
5008,site_dynamic,high,False,0.9130434782608695,0.9130434782608695,0.0,0,0.0,0,400,0,143
5009,site_small,low,False,0.6666666666666666,0.6666666666666666,0.0,0,0.0,0,180,0,26
5009,site_small,medium,False,0.5,0.5,0.0,0,0.0,0,180,0,51
5009,site_small,high,False,0.8333333333333334,0.8333333333333334,0.0,0,0.0,0,180,0,43
5009,site_medium,low,False,0.42857142857142855,0.42857142857142855,0.0,0,0.0,0,300,0,42
5009,site_medium,medium,False,0.5,0.5,0.0,0,6.0,12,300,0,114
5009,site_medium,high,False,0.4666666666666667,0.4666666666666667,0.0,0,0.0,0,300,0,138
5009,site_dynamic,low,False,0.8333333333333334,0.8333333333333334,0.0,0,3.0,5,400,0,124
5009,site_dynamic,medium,False,0.8,0.8,0.0,0,7.5,15,400,0,169
5009,site_dynamic,high,False,0.5652173913043478,0.5652173913043478,0.0,0,6.0,12,400,0,188
