actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,3119,146,119,156,0
1,165,2809,114,158,0
2,489,224,7639,130,0
3,346,179,153,7782,0
4,0,0,0,0,1275
