seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recoveries,emergency_stops,unresolved_emergency_stops
5400,site_small,low,True,1.0,1.0,77,0.75,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,5,5,0,0,0
5400,site_small,medium,True,1.0,1.0,99,1.25,0,0,12.900000147521496,12.900000147521496,12.900000147521496,12.900000147521496,0,0,0,0,0,0,8,8,0,0,0
5400,site_small,high,False,0.8333333333333334,0.8333333333333334,180,2.75,0,0,37.0000005364418,37.0000005364418,,44.40000064373016,0,0,0,0,0,0,7,7,0,0,0
5400,site_medium,low,False,0.42857142857142855,0.42857142857142855,300,1.25,0,0,3.0,3.0,,7.0,0,0,0,0,0,0,79,79,0,0,0
5400,site_medium,medium,True,1.0,1.0,260,29.5,26,26.0,34.00000038743019,60.00000038743019,60.00000038743019,60.00000038743019,14,2,12,0,0,0,44,44,0,0,0
5400,site_medium,high,False,0.4,0.4,300,1.25,0,0,61.00000089406967,61.00000089406967,,152.50000223517418,0,0,0,0,0,0,57,57,0,0,0
5400,site_dynamic,low,False,0.75,0.75,400,3.5,0,0,2.0,2.0,,2.6666666666666665,0,0,0,0,0,0,171,122,49,0,0
5400,site_dynamic,medium,False,0.5333333333333333,0.5333333333333333,400,11.25,9,9.0,45.00000059604645,54.00000059604645,,101.25000111758709,4,1,3,0,0,0,142,142,0,0,0
5400,site_dynamic,high,False,0.6521739130434783,0.6521739130434783,400,27.0,11,11.0,91.0000011920929,102.05000119209289,,156.47666849454242,7,3,4,0,0,0,94,94,0,0,0
5401,site_small,low,False,0.0,0.0,180,90.0,180,180.0,0,180.0,,18000000000.0,1,0,1,0,0,0,180,0,0,0,0
5401,site_small,medium,True,1.0,1.0,85,3.5,0,0,7.900000117719173,7.900000117719173,7.900000117719173,7.900000117719173,0,0,0,0,0,0,14,14,0,0,0
5401,site_small,high,True,1.0,1.0,33,0.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,0,0,0,0,0
5401,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,4.25,0,0,7.0,7.0,,8.166666666666668,0,0,0,0,0,0,45,45,0,0,0
5401,site_medium,medium,False,0.8,0.8,300,4.5,0,0,36.000000447034836,36.000000447034836,,45.000000558793545,0,0,0,0,0,0,103,103,0,0,0
5401,site_medium,high,False,0.8,0.8,300,18.75,11,11.0,101.00000089406967,112.00000089406967,,140.0000011175871,6,4,2,0,0,0,118,118,0,0,0
5401,site_dynamic,low,False,0.8333333333333334,0.8333333333333334,400,5.5,0,0,2.0,2.0,,2.4,0,0,0,0,0,0,92,92,0,0,0
5401,site_dynamic,medium,False,0.4666666666666667,0.4666666666666667,400,15.5,1,1.0,40.00000059604645,41.00000059604645,,87.85714413438524,1,0,1,0,0,0,223,222,0,0,0
5401,site_dynamic,high,False,0.21739130434782608,0.21739130434782608,400,64.25,0,0,258.0000011920929,258.0500011920929,,1187.0300054836273,0,0,0,0,0,0,251,209,42,0,0
