seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5400,site_small,low,True,1.0,1.0,82,1.5,0,0,0,0,0,0.0,0,0,0,0,0,0,8,0,False,False,0,0
5400,site_small,medium,True,1.0,1.0,53,1.75,0,0,8.300000078976154,8.300000078976154,8.300000078976154,8.300000078976154,0,0,0,0,0,0,4,0,False,False,0,0
5400,site_small,high,True,1.0,1.0,111,4.0,1,1.0,24.20000033080578,25.20000033080578,25.20000033080578,25.20000033080578,1,1,0,0,0,0,4,0,False,False,0,0
5400,site_medium,low,False,0.5714285714285714,0.5714285714285714,300,7.25,0,0,3.0,3.0,,5.25,0,0,0,0,0,0,107,0,False,False,0,0
5400,site_medium,medium,True,1.0,1.0,230,18.5,11,11.0,41.00000034272671,52.00000034272671,52.00000034272671,52.00000034272671,6,1,5,0,0,0,39,0,False,False,0,0
5400,site_medium,high,False,0.6,0.6,300,8.5,0,0,63.00000089406967,63.05000089406967,,105.08333482344945,0,0,0,0,0,0,32,0,False,False,0,0
5400,site_dynamic,low,False,0.75,0.75,400,37.5,0,0,24.0,24.0,,32.0,0,0,0,0,0,0,93,0,False,False,0,0
5400,site_dynamic,medium,False,0.3333333333333333,0.3333333333333333,400,1.75,0,0,43.00000059604645,43.00000059604645,,129.00000178813934,0,0,0,0,0,0,12,0,False,False,0,0
5400,site_dynamic,high,False,0.8695652173913043,0.8695652173913043,400,32.0,23,23.0,93.0000011920929,116.05000119209289,,133.45750137090684,8,1,7,0,0,0,126,0,True,True,0,0
5401,site_small,low,True,1.0,1.0,59,1.0,2,2.0,0,2.0,2.0,2.0,1,0,1,0,0,0,6,0,False,False,0,0
5401,site_small,medium,True,1.0,1.0,104,2.5,0,0,9.80000014603138,9.80000014603138,9.80000014603138,9.80000014603138,0,0,0,0,0,0,12,0,False,False,0,0
5401,site_small,high,True,1.0,1.0,33,0.5,0,0,6.600000098347664,6.600000098347664,6.600000098347664,6.600000098347664,0,0,0,0,0,0,0,0,False,False,0,0
5401,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,4.0,0,0,4.0,4.0,,4.666666666666667,0,0,0,0,0,0,61,0,False,False,0,0
