seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops
5403,site_medium,medium,True,1.0,1.0,175,8.25,0,0,18.50000026077032,18.50000026077032,18.50000026077032,18.50000026077032,0,0,0,0,0,0,41,0,False,False,0,0
5403,site_medium,high,False,0.8666666666666667,0.8666666666666667,300,40.0,59,59.0,70.00000089406967,129.00000089406967,,148.8461548777727,35,2,33,0,0,0,20,0,False,False,0,0
5403,site_dynamic,low,False,0.5,0.5,400,4.0,0,0,0,0,,0.0,0,0,0,0,0,0,110,0,False,False,0,0
5403,site_dynamic,medium,False,0.26666666666666666,0.26666666666666666,400,24.5,0,0,40.00000059604645,40.00000059604645,,150.00000223517418,0,0,0,0,0,0,183,0,False,False,0,0
5403,site_dynamic,high,False,0.7391304347826086,0.7391304347826086,400,57.5,82,82.0,88.0000011920929,170.0000011920929,,230.00000161283157,59,0,59,0,0,0,146,0,False,False,0,0
5404,site_small,low,True,1.0,1.0,75,1.0,0,0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,11,0,False,False,0,0
5404,site_small,medium,True,1.0,1.0,81,3.75,0,0,11.100000120699406,11.100000120699406,11.100000120699406,11.100000120699406,0,0,0,0,0,0,9,0,False,False,0,0
5404,site_small,high,False,0.3333333333333333,0.3333333333333333,180,28.75,43,43.0,44.400000527501106,87.4000005275011,,262.2000015825033,27,10,17,0,0,0,24,0,False,False,0,0
5404,site_medium,low,False,0.8571428571428571,0.8571428571428571,300,11.5,0,0,3.0,3.05,,3.558333333333333,0,0,0,0,0,0,34,0,False,False,0,0
5404,site_medium,medium,False,0.8,0.8,300,3.0,1,1.0,32.000000447034836,33.000000447034836,,41.250000558793545,1,1,0,0,0,0,42,0,False,False,0,0
5404,site_medium,high,False,0.5333333333333333,0.5333333333333333,300,48.0,66,66.0,68.00000089406967,134.00000089406967,,251.25000167638063,10,3,7,0,0,0,91,0,False,False,0,0
