actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,3002,165,191,182,0
1,138,2804,129,175,0
2,275,178,7900,129,0
3,295,192,168,7805,0
4,0,0,0,0,1275
