actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,3016,148,206,170,0
1,132,2834,133,147,0
2,315,169,7900,98,0
3,357,206,185,7712,0
4,0,0,0,0,1275
