actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,3002,130,177,231,0
1,154,2761,139,192,0
2,383,163,7816,120,0
3,258,154,180,7868,0
4,0,0,0,0,1275
