actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,3125,181,94,140,0
1,115,2920,81,130,0
2,552,262,7542,126,0
3,389,295,125,7651,0
4,0,0,0,0,1275
