actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,2857,170,272,241,0
1,94,2818,176,158,0
2,101,95,8164,122,0
3,182,242,192,7844,0
4,0,0,0,0,1275
