actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,3085,254,109,92,0
1,129,2935,74,108,0
2,603,338,7450,91,0
3,586,350,138,7386,0
4,0,0,0,0,1275
