iteration,beta,new_visited_state_transitions,disagreement_rate,corrected_deadlocks,held_out_success,held_out_hazard_recall,held_out_coverage,held_out_safety_cost,held_out_collision_rate,invalid_actions
1,0.75,12000,0.10133333333333333,3,0.6555555555555556,0.9208396595353118,0.9208396595353118,40.09444444444444,0.0,0
2,0.5,12000,0.10841666666666666,2,0.8555555555555555,0.9697412008281573,0.9697412008281573,38.8,0.0,0
3,0.25,12000,0.10958333333333334,0,0.7,0.9388037727168161,0.9388037727168161,38.08611111111111,0.0,0
