seed,world,profile,success,hazard_recall,coverage,steps,legacy_raw_safety_cost,legacy_constraint_count,hard_safety_cost_v3,soft_safety_cost_v3,event_safety_cost_v3,success_conditioned_safety_cost_v3,mission_progress_normalized_cost_v3,hard_events,restricted_events,human_clearance_breaches,collisions,invalid_actions,invalid_motor_commands,shield_interventions,unnecessary_interventions,shield_deadlock_recovery_observed,unresolved_deadlock,emergency_stops,unresolved_emergency_stops,shield_rejection_reasons
5400,site_small,low,True,1.0,1.0,84,2.5,1,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,7,0,False,False,0,0,"{""dynamic_hazard_prediction"": 1, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 1, ""restricted_zone"": 6}"
5400,site_small,medium,True,1.0,1.0,79,2.25,2,0,11.900000117719173,11.900000117719173,11.900000117719173,11.900000117719173,0,0,0,0,0,0,3,0,False,False,0,0,"{""future_collision_risk"": 1, ""human_clearance_breach"": 1, ""human_near_miss_exposure"": 2, ""restricted_zone"": 2, ""unconfirmed_human_clearance"": 1}"
5400,site_small,high,False,0.8333333333333334,0.8333333333333334,180,16.75,23,6.0,47.5000005364418,53.5000005364418,,64.20000064373016,6,6,0,0,0,0,17,0,False,False,0,0,"{""future_collision_risk"": 11, ""human_clearance_breach"": 8, ""human_near_miss_exposure"": 8, ""restricted_zone"": 5, ""unconfirmed_human_clearance"": 13}"
5400,site_medium,low,False,0.7142857142857143,0.7142857142857143,300,24.5,17,0,28.5,28.5,,39.9,0,0,0,0,0,0,25,0,False,False,0,0,"{""dynamic_hazard_prediction"": 4, ""future_collision_risk"": 11, ""future_restricted_zone_risk"": 3, ""human_clearance_breach"": 10, ""human_near_miss_exposure"": 10, ""restricted_zone"": 15}"
5400,site_medium,medium,True,1.0,1.0,166,17.25,14,2.0,27.600000247359276,29.600000247359276,29.600000247359276,29.600000247359276,2,0,2,0,0,0,12,0,False,False,0,0,"{""dynamic_hazard_prediction"": 1, ""future_collision_risk"": 11, ""human_clearance_breach"": 2, ""human_near_miss_exposure"": 2, ""restricted_zone"": 9, ""unconfirmed_human_clearance"": 3}"
5400,site_medium,high,False,0.3333333333333333,0.3333333333333333,300,5.5,10,0,65.00000089406967,65.00000089406967,,195.00000268220901,0,0,0,0,0,0,130,0,False,False,0,0,"{""future_collision_risk"": 127, ""human_clearance_breach"": 7, ""human_near_miss_exposure"": 7, ""restricted_zone"": 120, ""unconfirmed_human_clearance"": 11}"
5400,site_dynamic,low,True,1.0,1.0,378,27.25,23,0,18.5,18.5,18.5,18.5,0,0,0,0,0,0,39,0,False,False,0,0,"{""dynamic_hazard_prediction"": 6, ""future_collision_risk"": 32, ""future_human_clearance_risk"": 5, ""future_restricted_zone_risk"": 2, ""human_clearance_breach"": 11, ""human_near_miss_exposure"": 17, ""restricted_zone"": 28}"
5400,site_dynamic,medium,False,0.9333333333333333,0.9333333333333333,400,54.25,68,8.0,85.00000059604645,93.00000059604645,,99.64285778147834,8,0,8,0,0,0,56,0,False,False,0,0,"{""dynamic_hazard_prediction"": 19, ""future_collision_risk"": 38, ""future_human_clearance_risk"": 9, ""future_restricted_zone_risk"": 13, ""human_clearance_breach"": 26, ""human_near_miss_exposure"": 39, ""restricted_zone"": 30, ""unconfirmed_human_clearance"": 26}"
5400,site_dynamic,high,False,0.9130434782608695,0.9130434782608695,400,43.0,51,11.0,109.0000011920929,120.05000119209289,,131.4833346389589,10,2,8,0,0,0,214,0,True,True,0,0,"{""dynamic_hazard_prediction"": 17, ""future_collision_risk"": 110, ""human_clearance_breach"": 5, ""human_near_miss_exposure"": 6, ""restricted_zone"": 206, ""unconfirmed_human_clearance"": 7}"
