actual_action,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
0,3058,98,160,224,0
1,262,2612,148,224,0
2,623,306,7346,207,0
3,504,232,160,7564,0
4,0,0,0,0,1275
